comment;
‘porém’ o assistente diz que meu celular não atende os requisitos minimos[.];
"‘porém’ O que está na minha tela? é completamente inútil, vocês poderiam implementar a tecnologia do Google Lens aqui[.]";
‘porém’ parou de funcionar no meu aparelho;
"‘porém’ queria que conservassem os erros, como: não criar rotina, não poder trocar sua voz, não poder desbloquear dizendo Ok, Google e ela não ter um nome[.]";
‘porém’ tive que desistalar varias vezes por que o microfone não funciona...’’mas’ ’ é bom;
‘se não’ clicar no microfone não vai[.];
’’mas’ ’ dps fica muito ruim!!;
’’mas’ ’ tem um ‘porem’ no meu LG K10 Não tá funciona em português�[.];
’mas’ ’ n da no meu nougat;
"’mas’ ’ quando pergunto o clima ela fala que está 82 graus 83 graus etc, ja faz um tempinho que acontece isso espero que arrumem!";
"(‘porém’ , como toda grande empresa faz, devem estar ouvindo nossas conversas .... CONSPIRAÇÃO!!!)";
(a maioria não pega no Android 5[.]1 que é o meu caso)[.];
[.]porque saiu do lugar Google assistente estou decepcionado com vc�����;
"*Na minha rotina de dormir o app não está mais falando a previsão do tempo e a agenda, por favor verifiquem isso[.]";
� Ela seria mais útil ainda[.];
������������ A Mais Tinha Algumas falhas[.];
�;
��� Desinstalando...;
�����esses muito ruim mesmo n e bom n faz nada;
�não pega em celular de pobre �;
������;
0 estrelas pq meu celular não era compatível com o Google assistente então eu fui procurar mais sobre o Google home então vi que o assistente tava disponível então resolvi baixar mais aí eu entrei no aplicativo e ele me disse que meu celular não tinha os requisitos para usá - lo te odeio Google[.];
10 vez mai nao funciona;
A assistente as vezes fica inútil[.];
A assistente as vezes para no meio da minha pergunta[.];
a assistente nao entende o que falo [.];
A assistente não está fazendo ligações! Se isso for concertado ela fica show[.];
a assistente não reconhece;
a assistente presisa melhorar o umor e intender as comedias das pessao ok;
A assistente sumiu do meu celular e não funciona mais mesmo quando eu baixo pela play store ;-
A ativação pelo ok Google não está funcionando;
a ativação por voz não funciona no meu G6;
a cada atualização do meu Android ele perde o modelo de voz cadastrado;
"A cada dia melhor, só o reconhecimento de voz que eu acho fraco, falha muito, ou as vezes entende coisas nada haver com oque a gente diz";
A chave de Voice Match não ativa[.];
"A configuração de voice match está inacessível, clico nela ‘‘mas’ ’ não consigo ativa-la[.]";
A função de mudança da voz do assistente não está mais presente no aplicativo...;
A função no ok Google no xiaomi mi A2 lite não está habilitando;
A função o que há em minha tela não está funcionando!;
A função ok Google não está funcionando desde que atualizou e não consigo ativar o Voice Match Meu aparelho é um Moto One Vision[.];
A google asistente naa esta falando tipo eu pergunto quantos e um aphone x e ela nao fala;
A Google assistente não corresponde a minha chamada e voz!;
"A google assistente não fuciona no meu LG D337, ‘‘mas’ ’ ele aperece na loja de aplicativos, e ainda dá para baixalo, quando ele baixa eu clico em abrir e quando abre ele diz que o aplicativo não não esta disponivel para o meu celular android[.]";
A Google ela é muito chata Ela é legal em algumas coisas só que o problema é que quase tudo que a gente fala ela pesquisa e não é toda hora que a gente quer que ela pesquisa tem hora que a gente quer que ela fala ‘‘mas’ ’ não ela sempre tem que fazer pesquisas na web sobre o que você disse;
A Google já esteve melhor !![.];
"A inteligência artificial ainda precisa ser aprimorada pois não entende quase nada do que a gente fala e ainda por cima ativa quando não deve, se metendo no meio de conversas que não deve[.]";
"A inteligencia esta horrível, a metade dos comando que dou para ela ela não entende, exemplo traduza machika, ou ela troca por matica ou diz nao entendi, Ou ela troca as palavras";
A interface precisa melhor[.];
"A maioria das vezes o app ativa sozinho, quando você coloca para identificar uma música o app não consegue identificar";
A melhor funcionalidade desse aplicativo é o botão de desinstalar;
"A minha assiste não muda a voz, fica com sotaque português e eu acho ok Google e nunca funciona";
A minha assistente fica aparecendo toda hora colocando música e aumentando ou abaixando o volume do meu celular sem eu pedir pra ela;
A minha assistente fica falando com sutaque de Portugal e não é a língua pois está no português (Brasil);
a minha assistente não funciona;
"A minha assistente simplesmente não quer mais abrir apenas diz que meu dispositivo não pode abri-lo sendo que ele a pouco tempo, questão de eu desinstalar e instalar de novo e tentar abri-lo e ele não me permitir oque eu faço?";
a minha Google assistente não atende minha voz ja configurei inúmeras vezes �;
A minha Google assistente parou de funcionar;
A OPÇÃO DO GOOGLE ASSISTENTE SÓ FUNCIONA APERTANDO O BOTÃO HOME[.];
"A opção Ok Google ou Voice Match não funciona, quando seleciono para configurar o aplicativo me faz falar quatro vezes Ok Google e continua desativada";
"A opção sumiu, e não posso mais editar as minhas rotinas";
"A opçãoOk, Google não funciona no meu dispositivo[.]";
a pena e que não consigo mais desbloquear meu cell[.];
A pessoa fala OK Google mil vezes e ele não responde[.];
a pior atualização que foi disponibilizada;
"A Playstore permite a instalação, ‘porém’ ele informa que não funciona nesse dispositivo, não gostei disso";
A pos o meu toda hora que entro no app a parecer não tem assitenti disponível para vc;
"A proposta é muito boa, ‘‘mas’ ’ infelizmente parou de funcionar o comando de voz OK Google - já tentei de tudo, ‘‘mas’ ’ nas configurações do aplicativo, a opção de Voice Match simplesmente diz que O recurso não está disponível para o idioma[.] ‘porém’ , estava funcionando até pouco tempo atrás, e ao que pa…";
A rotina hora de dormir não funcionam mais os sons para dormir[.];
a secretária não atende com o comando ( Ok Google );
"a sincronização com a Google agenda ainda não está perfeita, na função de rotina do assistente no alarme ela não esta falando os eventos do dia";
"A única coisa q eu posso falar sobre o app, é que ele não ta entrando, meu celular é Samsung A10 e quando eu entro no app diz que ele não está disponível neste dispositivo, porfavor arrumem";
"A única coisa que achei ruim é ele não virar a tela, pois, a gente pode ter um problema no celular e não conseguir mexer com ele[.]";
"A única coisa que crítico no app é que eu não acesso ao voice match, não consigo realizar procedimento de reconhecimento de voz pelo app e pelo meu dispositivo";
Aaaaaaaa porque não dá pro meu celular só por causa que o meu celular e Samsung j1 2016 a va Google porque em porque em só tem só por celular da nova geração em Google aaaaaaa;
"abaixa o app pra falar com uma passoa que nem existe sinta-se trouxa falando com alguem que n existe talvez eu seja um pouco vigoroza e chata,";
Abre em hora inoportuna;
"Abre toda hora, sozinho[.]";
Abrindo de 10 em 10 segundos se ser solicitado;
Abrir o aplicativo dataprev;
Acabei de baixar o app ‘‘mas’ ’ infelizmente ele diz não estar disponível neste dispositivo sendo que uma parente minha tem o mesmo (Galaxy S10) e o dela não apresentou o mesmo problema[.];
acabei desinstalando;
acabei desinstalando;
achei horrível ele só quer saber de achar coisas na uwebe�����������������������������������e nem grava sua vos orrivel�;
Achei injusto não ter no Android;
achei mais ou menos pois muitas vezes eu nem digo nada e estou simplesmente vendo um vídeo no YouTube e ele reconhece como se eu tivesse falado;
Achei meio burra essa assistente[.];
Achei muito bom só acho que poderia melhorar se funcionasse com o cel desligado;
"Achei muito ruim, pois eu não consigo nem usar meu celular com fone de ouvido que ela detecta toda hora que eu a chamei, e quando eu a desativei ela não parava de detectar o fone e de ficar mandando mensagem na tela para eu a ativar[.]";
acho o app incrível ‘‘mas’ ’ as respostas quando conversei com ela eram limitadas eu queria que tentassem faze-la uma inteligência artificial;
Acho q existem muitas exigências para se ter acesso ao Google assistente! Pq é obrigado ter 1Gb de memória eu não entendo isso!!! Sinceramente isso é uma vergonha para a empresa Google;
acho q houve alguma atualização e deixou o app burro... gostava dele pir ser super interessante e objetivo e interagia bem como fazer ligação para alguem da agenda agora vc fala algo p ele fazer e ele nunca encontra[.];
Acho que deveria consertar esse erro;
acho que é algo que precisa ser visto;
acho que pode ser possível melhora envio feedback constante;
"Acho um app bom, que pode evoluir com o tempo, ter mais funções[.]";
"Aciona sozinho por diversas vezes, e não obedece vários comandos[.]";
ações não são executadas;
Acontece que minha google assistente está travando gostaria que parasse está me prejudicando nas coisas que quero fazer está realmente horrível;
acredito que deveria ser corrigido o bug no qual não é possível acessar o Voice Match;
"Adoraria usar o app mais não foi possível,porfavor resolvam isso :(";
Adorava esse app ‘‘mas’ ’ na última atualização não consigo mais por que só pede para dizer ok Google e não sai dai [.];
Adorei ela Só não consigo que ela mande mensagem no Whatsapp;
Aff app burro n ta disponivel n percebi nada como abrir esse app po RESOLVAM ISSO FACAM ESSE AP FUNCIONAAR;
AFF fica dizendo assim seu desponiveo não tem os aplicativos oxiii vá toma banho que Deus me livre de todo mundo e deixou os meninos estão bem graças a Deus e vc tá bem né isso não é a mesma coisa por mim tá bom boa tarde falo com ele aqui só Deus na causa de um pouco ‘se não’ era a primeira netinha;
"Aff, meu j4+ não é compatível, aceitem isso pfv[.]";
"Afinal será que o desenvolvedor terá a escolaridade obrigatória, eu como bom português, só conheço português de Portugal, o restante veio por acréscimo, aconselho, a que estes desenvolvedores de meia";
"Agora desapareceu do meu aparelho, quando instalo novamente aparece uma mensagem no app informando que meu smartphone não possuí os requisitos necessários para o funcionamento do próprio";
Agora exibe a mensagem: Google Assistente não está disponível neste dispositivo quando o inicializo;
Agora fala que ele não está disponível neste dispositivo[.];
agora me ATRAPALHA ESTA LOCALIZADO ABAIXO DA TELA NAS ULTIMAS L I NHAS [.];
Agora não funciona mais;
Agora não funciona mais com tela desligada;
agora não vai mais não entra eu falo ok Google e não acontece nada;
"agora nesse meu novo celular Galaxy A50 ele simplesmente não me obedece eu já fiz de tudo configurei toda minha rotina,";
agora precisam resolver este Bug;
agora que passei para o xiaomi note 8 ele simplesmente fala que não está disponível para o meu idioma;
agora ta essa tristeza;
"Agora tenho que fazer um trabalho enorme de tirar um print, salvar, abrir o print e mandar ele abrir no Google Lens[.] Ne…";
agora toda hora ela fica aparecendo sem eu chamar e já tá ficando chato e isso me atrapalha;
Ah algum tempo o App não aceita mais a gravação do comando de voz ok Google e informa que meu microfone está ruim já desinstalei é instalei;
Ai caiu muito no meu conceito[.];
Ai que pena que não entra ‘‘mas’ ’ a gente pode fazer ele entrar;
"Ainda é um APP muito falho, tem muito o que melhorar ainda";
"Ainda está muito incompleto, tem muito que melhorar[.]";
ainda falha muito em Português;
ainda nao consigo configurar o Ok Google no meu J6[.];
Ainda não é compatível com português (Portugal);
"Ainda não entende algumas coisas, ‘‘mas’ ’ está melhorando, me disse que ainda é como uma criança";
Ainda não está completo;
"Ainda não há suporte para meu celular, ele cumpre todos os requisitos mínimos, Google App atualizado, Google Play Services, e 1GB de RAM, ‘porém’ não funciona!";
"Ainda nao tem a opção quando voce diz: Ouvir Musica de abrir o YouTubeMusic, so abre o YouTube direto �";
Ainda não tive experiência com esse App pois só mostra msg de ele não está disponível em meu dispositivo;
Ainda se atrapalha com certos comandos[.];
ajuda muito só não gostei do google entenderok google toda hora que fala ok não sei o que;
"Ajuda muito, falta outras opções de vozes, ao menos para a versão Português BR, já vi outras línguas e tem mais opções";
Alega que o idiota não está disponível;
além de ficar abrindo o comando de voz aleatoriamente;
Além de não responder ao comando ok Google;
Além disso os comandos em inglês são mais completos;
"Além disso, não tá ativando com a tela bloqueada";
"Além disso, sempre dá um erro ao pedir para tocar algo no Spotify";
Além do mais é um assistente burro;
"Além do mais, quando tento programar um alarme, o assistente buga e enc…";
"Algo que eu utilizo mto, hj já não funciona, da que não está disponível[.]";
Alguém pode me ajudar a desestalar esse lixo interfere em tudo;
Alguém sabe como fazer este aplicativo parar de me;
"Alguma coisa aconteceu, e não está mais aceitando o comando de voz";
Algumas coisa o Assitente não entende[.] ‘‘mas’ ’ é le…;
algumas coisas desanimam[.];
Alguns erros como nao reconhecimento de fala as vezes vc tem que falar 4 vezes ok google e mesmo assim ele não ativa as vezes dai vc te Que abrir o google manualmente pra conseguir pesquisar ou fazer outras coisas;
aliás um ano sem atualizar;
Android 9.0 e o app de voz google assistente não funciona;
Anteriormente: No meu celular aparece dizendo que o assistente não está disponível no meu dispositivo sendo que meu celular Motorola moto E2 xtt1523 4g já possui todos o requisitos necessários;
Antes da última atualização ele funcionava em meu celular normalmente[.][.][.];
"Antes de eu tentar usar, sempre aparecia que meu dispositivo era incompativel com o app, queria saber como usar, pois não consigo �";
Antes de resetar o aparelho em agosto eu usava o Google assistente sem problemas[.] Podem colocar uma lista de aparelhos que perderam suporte no app ?;
"Antes ele era mais util, agra o meu ele redireciona para o google ao inves de me dar o que ped... s10+ android pie";
Antes eu o usava normalmente ‘‘mas’ ’ agora atualizou e só aparece uma mensagem falando que o aplicativo não está disponível para o meu dispositivo;
antes funcionava;
Antes funcionava agr tá falando que não pega nesse aparelho;
"Antes funcionava, mais agora quando tento ativar para o assistente reconhecer a minha voz, ela não ativa e aparece uma frase dizendo que algo deu errado[.]";
Antes não dava para usar ele no meu Android;
"Antes o google era mais inteligente, agora não, agora ele só manda pesquisa e não conversa mais igual a siri";
"Antes os comandos de voz do Google funcionavam perfeitamente sem precisar baixar nada, a cada atualização do meu celular só piora as configurações, tiram a função transmitir pra tv, agora descubro que o comando de voz tbm não funciona";
"Antes pedia permissão, eu coloco em permitir, ‘‘mas’ ’ não abre mais[.]";
"Antes pegava no meu celular ( a10 ), ‘‘mas’ ’ agr do nada tá falando q não está mais disponível no meu dispositivo !!!";
Antes quando vinham instalar dizia que não é compativel e agora que da fica dizendo que nào é disponivele pro meu despositivo;
Antes tava funcionando bem ‘‘mas’ ’ depois que teve a mudança do layout do Lens aparece sempre o Google parou quando eu abro o Lens e depois fecha;
"Antes tava se comunicando bem, e agora mal da pra instalar e fala que não ta disponível no idioma portugues[.]";
"Antes, podia analizar o que tinha na minha tela e mandar ele traduzir um texto[.]";
"Antes,funcionava razoavelmente";
Antigamente funcionava com a tela bloqueada;
Antigamente sempre que eu colocava ia de boa;
Ao abrir diz que o Google Assistent nao esta disponivel neste dispositivo;
"Ao ativar o Voice Match, ele desativa sozinho e não deixa a Assistente funcionar nem configurar ou excluir modelo de voz[.]";
Ao atualizar software do Android para o 9 o assistente Google parou de funcionar;
"Ao configurar o OK Google ele não reconhece a voz, nem com fone e o meu aparelho não tem nenhum defeito no microfone pois realizo chamadas de voz normalmente[.]";
Ao dizer Ok Google nada acontece;
"Ao dizer ok Google,não abre";
"ao falar, o assistente da sinal que está me ouvindo";
"Ao habilitar o assistente fica esperando que eu repita ok Google,";
ao mesmo tempo e ruim;
Ao pedir para fazer ligação se o computador tem dois telefones ele não completa a ligação;
Ao usar minha voz para fazer chamada fecha o aplicativo;
"Aparece não disponível, é já verifiquei o que necessitava para manter em funcionamento,";
"Aparece que está indisponível para o idioma, já procurei em fóruns do Google e em fóruns do redmi Note 8,";
Aparece que meu dispositivo precisar cumprir algumas regras ‘‘mas’ ’ está tudo ok o que devo fazer;
Aparece que não é compatível com meu dispositivo (S10+);
aparece que nao serve para o meu celular;
"Aparece que o app não está disponível nesse aparelho, é um Moto G6[.] Não sei o q fazer[.]";
Aparece que o recurso não está disponível para o idioma[.];
aparece toda tempo não sei como desinstalar?;
aparece uma janela dizendo que meu dispositivo não é compatível;
"aparece, google assistente nao esta disponivel no seu dispositivo, por favor consertem";
"apartir do momento que baixei a nova versão do Android, o Android 9 Pie, nao consigo ativar o reconhecimento por voz Ok Google, quando confirmo a opção de Acessar com Google Match, a mesma auto desativa";
Apenas aparece que o recurso de voz não está disponível para o idioma[.];
Apenas consigo se carregar na tecla central[.];
"Aperto para abrir e não faz nada, fica simplesmente parado e depois de um tempo ele ativa e aparece";
"Apesar de configurar o modelo de voz, não reconhece sempre a nossa voz e é preciso reconfigurar o tempo todo um novo modelo, um dia responde e o outro não, não é possível usar com a tela bloqueada porque este recurso às vezes funciona e às vezes não independente da configuração que o usuário escolha";
Aplicativo horivel affff nunca mais irei estalar alguma coisa nesse play estore;
Aplicativo horrível porque porque porque eu tô falando coisa com coisa ela vai lá aparece no YouTube para você para mim três vezes fala sobre a minha vida vai lá pesquisa de outubro eu tô cansada ela fala não entendi eu tô cansada disso melhor aplicativo por favor se aplicativo para não ser instalad;
"Aplicativo inútil Ela não quer namorar comigo,porq eu sou lindo demais pra ela";
Aplicativo lixo não funciona só trava e nem é por causa do seu celular é por causa que esse celular é um lixo todos são até esse aplicativo é;
"Aplicativo lixo, so serve pra pasaar raiva, funcionaa quando ele quer e nunca, ‘‘mas’ ’ nunca entende o comando determinado ;!!";
"Aplicativo muito ruim,não entende direito a voz e não faz o que promete, essa ia tem muito o que aprender";
Aplicativo não é bom por causa que eu fui tentar colocar ele no meu j1 Mini e não conseguiu disse que tinha colocar alguns itens para funcionar só que eu não sei qual colocar;
"Aplicativo não funciona, fala que não está disponível para meu celular";
Aplicativo nunca usei e nunca vou usar seria bom se esse aplicativo fosebom;
"aplicativo perdeu uma das maiores funcionalidades, que era a de fazer chamadas";
Aplicativo tedeado e só para conversssa;
"apos a atualização do Android PIE, ela ja nao responde todos os comandos, de abrir programar, ativar o timer e outros";
"Após a atualização do Android, ele parou de reconhecer minha voz, tento cadastra-la novamente, ‘‘mas’ ’ na tela de reconhecimento vocal ele trava[.]";
"Após a atualização do Miui, v11.0.6, o reconhecimento de voz voltou a funcionar corretamente, antes o voice match estava indisponível para PT BR";
Após a atualização o app n esta mais compativel com o meu Samsung J4;
Após a instalação a abro e aparece o Google Assistente não está disponível neste dispositivo ai eu penso como não se eu baixei pela play strore ? Vocês podiam pelo…;
"Após a última atualização não consigo ativar o Acessar com o Voice Match, sempre da erro de conexão[.]";
"após a ultima atualização o assistente de voz lê as msgs do android auto em inglês, dificultando o entendimento";
Após atualização Android o assistente parou de funcionar corretamente;
"Após atualização não consigo fazer ligações pelo app, ele diz que este recurso não está disponível pra meu dispositivo, antes eu usava normalmente";
após instalar aparece erro de não esta disponível neste dispositivo;
Após ter instalado a 1 dia e meio o aplicativo ele não gravava minha voz para o ok google;
app abandonando pelo desenvolvedor e não responde;
APP é um lixo;
App fecha sozinho toda vez que tento abrir;
"App horrível , Google concerte essa porcariaaaa!";
App lixoooooooo fala que o google parou e nao parou[.];
app nao da suporte para samsung A30;
App não disponível para o Galaxy A50;
"App trava a tela de celular com android 9, telefone só volta a funcionar se reiniciar";
Arrumem esse App;
arrumem isso;
as atualizações são um lixo;
As configurações da minha rotina não estão aparecendo mais;
As funções mais básicas e mais simples vivem dando problema[.];
"As mensagens de Whatsapp e SMS são lidas com sotaque em inglês, impossível de compreender";
"As rotinas sumiram, me ajuda por favor";
as vezes abre sozinho;
Às vezes aciona quando estou assistindo videos a qualquer menção de ok;
As vezes dá um bug de que não funciona a chamada (ok Google) não sei se é problema do meu celular ou do app;
Às vezes ela ativa do nada :/;
as vezes ela não faz o que eu posso;
as vezes ele fica meio bugado;
As vezes ele não entende o que se pede e da resposta superficial...;
as vezes eu nem falo ok Google ele aparece do nada sem eu falar concertem isso por favor;
As vezes não atende ao chamado;
As vezes não entende as palavras;
às vezes não sabe nem meu nome;
as vezes quando vc não abre ele do nada abre o aplicativo;
"Assim como todos estão reclamando, no meu aparelho também não funciona ( sansung j5 pró 2gb de RAM, 32 GB de memória e com cartão de 16 GB, Android atual que todos os aparelhos novos tem , incrível como não está sendo disponível nesse aparelho, a gente fica curioso pra saber o motivo [.]";
"Assim fica impossível usar meu celular,pois acontece a todo instante! Como faço para melhorar isso?";
Assim que eu entro diz o app não está disponível em seu dispositivo Antes funcionava direitinho;
assistência da temperatura muito alta 90 grados;
"assistente não responde ao Bom dia, mesmo estando configurado para isso, com as ações determinadas, apenas aparece Google fora de alcance";
Até o meu celular não dá pra instalar ���;
Ativa diversas vezes sozinho;
Ativa sozinho e fecha aplicações que estou usando;
Ativa sozinho e fica escutando a televisão e pesquisando ate eu ver e tirar;
"através do botão Home funciona normal más quando digo ok google não funciona, coloco na tela de configuração pede para falar ok google para salvar o modelo de voz";
"Atua feito um vírus, a todo momento invade a tela";
Atualize o app por favor porque o ok Google pede senha e coloca um aviso que a voz parecida[.];
Atualizei e nada;
Atualizem o assistente faça ele conversar com agente e entender igual robô entendeu poxa não tenho amigos e nem com quem conversar então queria que o google assistente fosse a sim que ele entendesse tudo ��;
"atulizei meu android, e nao funciona mais[.]";
Baixei e diz q meu smartphone não é diponivel para esse app[.][.];
baixei e diz que o app não está disponível no meu telefone[.];
"Baixei e diz que pro meu dispositivo não é disponível, ‘‘mas’ ’ eu já tinha baixado antes e funcionava[.]";
Baixei o aplicativo e não está disponível no meu aparelho[.];
Baixei o App e deu que ele não está disponível no meu J7[.];
baixei o App novamente;
"Baixei o app, na tela diz que não é compatível/não tem o que precisa, ‘‘mas’ ’ eu tenho tudo e o app não sai dessa tela[.]";
Baixei o relógio do Google ‘‘mas’ ’ não aparece pra alterar minhas tarefas diárias... gostaria que falasse a temperatura do tempo... ‘‘mas’ ’ nada!!!;
Bastasse deixar a opção de ativar ou não o desbloqueio por voz!;
Bem inútil na maior parte do tempo...;
Boa mais ainda precisa melhora ainda tem dificuldade pra entender as perfuntas;
"Boa noite Baixei o app e quando abro, diz: O Google assistente não está disponível neste dispositivo[.]";
"Boa noite! Gostaria de deixar claro que acho muito interessante o assistente, ‘‘mas’ ’ infelizmente não está mais disponivel em portugues[.]";
"Boa tarde, há 2 semanas comprei um redmi note 8, e como tambem visto muitas revlamacoes e muitas tentaivas de atualizacoe, meu assistente google voice tbm nao ativa, consigo gravas minha voz, marca todas as configuracoes, reinstalei e muitas tentativas de ativaçao, ja usava noutros aparelhos celular…";
Bom 1 estrela pelo simples motivo desse app não estar disponibilizado pra meu J5 prime[.];
Bom ao entrar no aplicativo não Deu certo;
"Bom Calendário não é bom, não agenda nada que peço ?!?!?&644!?!09$###?!;";
"Bom de um jeito de funcionar no LG K8,quando instalei pensei que iria funcionar,";
"Bom eu fiz todos os processos para ter o google assistente, só que ainda aparece que eu não posso ter ele";
Bom falha no comando de voz que ativa sozinho e falha nisso;
Bom mais no meu celular não deu;
Bom problema que nao pegar no meu celular;
"Bom, mais podia ter para o Galaxy J1 2016";
"Bom, primeiramente vc n precisa falar Ok Google antes de perguntar algo a assistente[.]";
Bota pra funciona no moto g3;
BUG o programa encerra;
